peptide_id,gene_id,transcript_id,genome,chromosome,start_pos,end_pos,strand,description,length
KRG96272,GLYMA_19G200600,KRG96272,Glycine_max_v2.0,19,45756688,45762015,1,hypothetical protein,319
KRH09157,GLYMA_16G200000,KRH09157,Glycine_max_v2.0,16,36107537,36107746,1,hypothetical protein,69
KRH60627,GLYMA_04G001000,KRH60627,Glycine_max_v2.0,4,97388,99724,1,hypothetical protein,87
KRH33689,GLYMA_10G139900,KRH33689,Glycine_max_v2.0,10,37347073,37347819,-1,hypothetical protein,237
KRH73250,GLYMA_02G262000,KRH73250,Glycine_max_v2.0,2,44799128,44799280,-1,hypothetical protein,50
KRH71558,GLYMA_02G154900,KRH71558,Glycine_max_v2.0,2,15862338,15862505,-1,hypothetical protein,55
KRH01665,GLYMA_18G291300,KRH01665,Glycine_max_v2.0,18,56993982,56994478,-1,hypothetical protein,68
KRH26595,GLYMA_12G182900,KRH26595,Glycine_max_v2.0,12,34386097,34386561,1,hypothetical protein,72
KRH17746,GLYMA_13G012100,KRH17746,Glycine_max_v2.0,13,3106930,3107578,1,hypothetical protein,67
KRH38749,GLYMA_09G155500,KRH38749,Glycine_max_v2.0,9,37866993,37868741,-1,hypothetical protein,211
KRH42022,GLYMA_08G064000,KRH42022,Glycine_max_v2.0,8,4909631,4910584,1,hypothetical protein,66
KRG99029,GLYMA_18G115600,KRG99029,Glycine_max_v2.0,18,14096823,14097941,-1,hypothetical protein,76
KRH09083,GLYMA_16G194900,KRH09083,Glycine_max_v2.0,16,35682364,35682996,1,hypothetical protein,80
KRH25757,GLYMA_12G126400,KRH25757,Glycine_max_v2.0,12,13825766,13825939,-1,hypothetical protein,57
KRG94130,GLYMA_19G064400,KRG94130,Glycine_max_v2.0,19,15271161,15271511,1,hypothetical protein,78
KRH30200,GLYMA_11G1669001,KRH30200,Glycine_max_v2.0,11,16208728,16209172,-1,hypothetical protein,63
KRH63913,GLYMA_04G203900,KRH63913,Glycine_max_v2.0,4,47644486,47644904,1,hypothetical protein,75
KRH22150,GLYMA_13G2809002,KRH22150,Glycine_max_v2.0,13,38209952,38210089,-1,hypothetical protein,45
KRG97258,GLYMA_19G260800,KRG97258,Glycine_max_v2.0,19,50391408,50391972,1,hypothetical protein,83
KRH58547,GLYMA_05G1351002,KRH58547,Glycine_max_v2.0,5,32764130,32765971,-1,hypothetical protein,51
KRG97217,GLYMA_19G258200,KRG97217,Glycine_max_v2.0,19,50204220,50204420,-1,hypothetical protein,66
KRH06419,GLYMA_16G021900,KRH06419,Glycine_max_v2.0,16,2067605,2069564,1,hypothetical protein,53
KRH63914,GLYMA_04G204000,KRH63914,Glycine_max_v2.0,4,47646129,47646356,-1,hypothetical protein,73
KRH35900,GLYMA_10G271000,KRH35900,Glycine_max_v2.0,10,49322674,49323913,-1,hypothetical protein,195
KRH03253,GLYMA_17G087200,KRH03253,Glycine_max_v2.0,17,6758420,6760421,1,hypothetical protein,313
KRH62835,GLYMA_04G135800,KRH62835,Glycine_max_v2.0,4,20218720,20220616,-1,hypothetical protein,134
KRH10668,GLYMA_15G061600,KRH10668,Glycine_max_v2.0,15,4748720,4753300,1,hypothetical protein,391
KRH51003,GLYMA_07G255600,KRH51003,Glycine_max_v2.0,7,43194219,43196544,1,hypothetical protein,84
KRH64784,GLYMA_04G255000,KRH64784,Glycine_max_v2.0,4,52163292,52164732,-1,hypothetical protein,186
KRH54089,GLYMA_06G164100,KRH54089,Glycine_max_v2.0,6,13569956,13571036,-1,hypothetical protein,91
KRG89963,GLYMA_20G058100,KRG89963,Glycine_max_v2.0,20,17105599,17113097,-1,hypothetical protein,222
KRH67594,GLYMA_03G175500,KRH67594,Glycine_max_v2.0,3,38887687,38888155,1,hypothetical protein,54
KRH21020,GLYMA_13G215100,KRH21020,Glycine_max_v2.0,13,32859027,32860717,-1,hypothetical protein,162
KRH74389,GLYMA_01G016100,KRH74389,Glycine_max_v2.0,1,1548355,1551672,-1,hypothetical protein,734
KRH35165,GLYMA_10G226500,KRH35165,Glycine_max_v2.0,10,45706001,45707052,-1,hypothetical protein,55
KRH18824,GLYMA_13G084400,KRH18824,Glycine_max_v2.0,13,19549504,19550603,-1,hypothetical protein,196
KRH53334,GLYMA_06G119600,KRH53334,Glycine_max_v2.0,6,9735603,9735773,1,hypothetical protein,56
KRH56927,GLYMA_05G028100,KRH56927,Glycine_max_v2.0,5,2422999,2424434,1,hypothetical protein,177
KRH12877,GLYMA_15G201500,KRH12877,Glycine_max_v2.0,15,24745471,24745863,1,hypothetical protein,130
KRH61837,GLYMA_04G070400,KRH61837,Glycine_max_v2.0,4,5892031,5892201,1,hypothetical protein,56
KRH71654,GLYMA_02G161300,KRH71654,Glycine_max_v2.0,2,19689022,19689186,1,hypothetical protein,54
KRH49948,GLYMA_07G190200,KRH49948,Glycine_max_v2.0,7,35804819,35810844,-1,hypothetical protein,447
KRH36040,GLYMA_10G280200,KRH36040,Glycine_max_v2.0,10,50143105,50143896,1,hypothetical protein,66
KRH39041,GLYMA_09G173900,KRH39041,Glycine_max_v2.0,9,39861812,39862266,1,hypothetical protein,135
KRG93664,GLYMA_19G031800,KRG93664,Glycine_max_v2.0,19,4025831,4026895,1,hypothetical protein,108
KRH58101,GLYMA_05G105400,KRH58101,Glycine_max_v2.0,5,28007826,28008032,-1,hypothetical protein,68
KRH13798,GLYMA_15G264600,KRH13798,Glycine_max_v2.0,15,49881177,49881683,-1,hypothetical protein,168
KRH04610,GLYMA_17G173700,KRH04610,Glycine_max_v2.0,17,18025303,18025448,1,hypothetical protein,34
KRH45515,GLYMA_08G276200,KRH45515,Glycine_max_v2.0,8,36836251,36836862,1,hypothetical protein,109
KRH53499,GLYMA_06G128800,KRH53499,Glycine_max_v2.0,6,10598708,10598973,-1,hypothetical protein,67
KRH01858,GLYMA_17G000700,KRH01858,Glycine_max_v2.0,17,69831,78451,1,hypothetical protein,319
KRH70607,GLYMA_02G099700,KRH70607,Glycine_max_v2.0,2,9373786,9374001,-1,hypothetical protein,71
KRH51525,GLYMA_06G012400,KRH51525,Glycine_max_v2.0,6,917888,919783,1,hypothetical protein,63
KRH58238,GLYMA_05G114600,KRH58238,Glycine_max_v2.0,5,30449318,30449608,1,hypothetical protein,86
KRH13717,GLYMA_15G259100,KRH13717,Glycine_max_v2.0,15,49109474,49111739,-1,hypothetical protein,251
KRH06697,GLYMA_16G040400,KRH06697,Glycine_max_v2.0,16,3796321,3797161,-1,hypothetical protein,59
KRH67895,GLYMA_03G193900,KRH67895,Glycine_max_v2.0,3,40467047,40468219,1,hypothetical protein,48
KRH74654,GLYMA_01G034500,KRH74654,Glycine_max_v2.0,1,3585569,3588054,1,hypothetical protein,86
KRH01221,GLYMA_18G262400,KRH01221,Glycine_max_v2.0,18,54805208,54806944,1,hypothetical protein,99
KRH39170,GLYMA_09G183200,KRH39170,Glycine_max_v2.0,9,40840983,40841147,1,hypothetical protein,54
KRG91420,GLYMA_20G153800,KRG91420,Glycine_max_v2.0,20,39274149,39275736,1,hypothetical protein,62
KRH43715,GLYMA_08G166300,KRH43715,Glycine_max_v2.0,8,13128338,13135758,1,hypothetical protein,92
KRH53696,GLYMA_06G140700,KRH53696,Glycine_max_v2.0,6,11469137,11470446,1,hypothetical protein,104
KRH65216,GLYMA_03G021000,KRH65216,Glycine_max_v2.0,3,2148314,2162943,-1,hypothetical protein,1191
KRH23468,GLYMA_13G359200,KRH23468,Glycine_max_v2.0,13,44651121,44653243,1,hypothetical protein,201
KRH39272,GLYMA_09G189700,KRH39272,Glycine_max_v2.0,9,41447145,41447802,-1,hypothetical protein,63
KRG90356,GLYMA_20G085700,KRG90356,Glycine_max_v2.0,20,31980234,31982601,-1,hypothetical protein,108
KRH07607,GLYMA_16G097900,KRH07607,Glycine_max_v2.0,16,18969112,18969639,1,hypothetical protein,67
KRH63252,GLYMA_04G163500,KRH63252,Glycine_max_v2.0,4,40580109,40580693,1,hypothetical protein,117
KRG90573,GLYMA_20G100000,KRG90573,Glycine_max_v2.0,20,34319788,34322794,1,hypothetical protein,333
KRH43003,GLYMA_08G124500,KRH43003,Glycine_max_v2.0,8,9566095,9568560,1,hypothetical protein,59
KRH28686,GLYMA_11G069100,KRH28686,Glycine_max_v2.0,11,5190673,5193547,-1,hypothetical protein,69
KRG99538,GLYMA_18G152500,KRG99538,Glycine_max_v2.0,18,28972636,28973506,1,hypothetical protein,127
KRH25485,GLYMA_12G106700,KRH25485,Glycine_max_v2.0,12,9741141,9741858,-1,hypothetical protein,129
KRH20382,GLYMA_13G174600,KRH20382,Glycine_max_v2.0,13,28884956,28910955,1,hypothetical protein,2718
KRG93832,GLYMA_19G044700,KRG93832,Glycine_max_v2.0,19,6659424,6663603,1,hypothetical protein,465
KRH62243,GLYMA_04G095400,KRH62243,Glycine_max_v2.0,4,8483127,8484698,1,hypothetical protein,86
KRH20794,GLYMA_13G200900,KRH20794,Glycine_max_v2.0,13,31446769,31447481,1,hypothetical protein,104
KRH29918,GLYMA_11G146400,KRH29918,Glycine_max_v2.0,11,11289924,11290073,1,hypothetical protein,49
KRH65362,GLYMA_03G030200,KRH65362,Glycine_max_v2.0,3,3355676,3356204,1,hypothetical protein,70
KRH47611,GLYMA_07G039500,KRH47611,Glycine_max_v2.0,7,3237703,3238856,1,hypothetical protein,122
KRH33532,GLYMA_10G129500,KRH33532,Glycine_max_v2.0,10,34736180,34736957,1,hypothetical protein,74
KRH73269,GLYMA_02G263600,KRH73269,Glycine_max_v2.0,2,44911180,44912636,-1,hypothetical protein,351
KRH23681,GLYMA_13G371100,KRH23681,Glycine_max_v2.0,13,45631966,45632931,-1,hypothetical protein,106
KRH60202,GLYMA_05G2261002,KRH60202,Glycine_max_v2.0,5,40466087,40466142,-1,hypothetical protein,17
KRG94937,GLYMA_19G119400,KRG94937,Glycine_max_v2.0,19,37709556,37712196,-1,hypothetical protein,267
KRH10314,GLYMA_15G041900,KRH10314,Glycine_max_v2.0,15,3273014,3273962,1,hypothetical protein,66
KRH47649,GLYMA_07G042200,KRH47649,Glycine_max_v2.0,7,3513045,3513383,1,hypothetical protein,84
KRH48848,GLYMA_07G116800,KRH48848,Glycine_max_v2.0,7,13017377,13017816,1,hypothetical protein,77
KRH44002,GLYMA_08G184700,KRH44002,Glycine_max_v2.0,8,14809984,14818783,1,hypothetical protein,511
KRH34795,GLYMA_10G206800,KRH34795,Glycine_max_v2.0,10,43850381,43851041,1,hypothetical protein,36
KRH30062,GLYMA_11G155600,KRH30062,Glycine_max_v2.0,11,12763190,12763959,1,hypothetical protein,81
KRH57505,GLYMA_05G065000,KRH57505,Glycine_max_v2.0,5,6388241,6389164,1,hypothetical protein,307
KRH11552,GLYMA_15G116600,KRH11552,Glycine_max_v2.0,15,9164187,9164585,-1,hypothetical protein,72
KRH30966,GLYMA_11G218200,KRH30966,Glycine_max_v2.0,11,31290239,31294284,1,hypothetical protein,68
KRG99597,GLYMA_18G156200,KRG99597,Glycine_max_v2.0,18,34161631,34162164,1,hypothetical protein,106
KRH71283,GLYMA_02G139000,KRH71283,Glycine_max_v2.0,2,14391060,14392438,1,hypothetical protein,69
KRH20557,GLYMA_13G1860002,KRH20557,Glycine_max_v2.0,13,29978087,29978163,1,hypothetical protein,25
KRH15231,GLYMA_14G076100,KRH15231,Glycine_max_v2.0,14,6375700,6379969,1,hypothetical protein,47
KRH47833,GLYMA_07G051400,KRH47833,Glycine_max_v2.0,7,4434210,4435794,1,hypothetical protein,312
KRH13513,GLYMA_15G244900,KRH13513,Glycine_max_v2.0,15,46615941,46616878,1,hypothetical protein,93
KRH38732,GLYMA_09G154300,KRH38732,Glycine_max_v2.0,9,37729414,37729584,-1,hypothetical protein,56
KRH76173,GLYMA_01G136800,KRH76173,Glycine_max_v2.0,1,46177479,46177670,-1,hypothetical protein,63
KRG96365,GLYMA_19G205900,KRG96365,Glycine_max_v2.0,19,46162512,46162902,-1,hypothetical protein,112
KRH36966,GLYMA_09G035200,KRH36966,Glycine_max_v2.0,9,2940481,2941257,-1,hypothetical protein,258
KRH43209,GLYMA_08G137400,KRH43209,Glycine_max_v2.0,8,10510958,10512626,1,hypothetical protein,83
KRH66288,GLYMA_03G096900,KRH66288,Glycine_max_v2.0,3,28458751,28464226,-1,hypothetical protein,390
KRG94112,GLYMA_19G063200,KRG94112,Glycine_max_v2.0,19,13582853,13583053,-1,hypothetical protein,66
KRG93029,GLYMA_20G244100,KRG93029,Glycine_max_v2.0,20,47429944,47433224,-1,hypothetical protein,610
KRH15752,GLYMA_14G108900,KRH15752,Glycine_max_v2.0,14,12007387,12007623,1,hypothetical protein,78
KRH75190,GLYMA_01G068700,KRH75190,Glycine_max_v2.0,1,11504351,11504998,-1,hypothetical protein,140
KRH56964,GLYMA_05G0301002,KRH56964,Glycine_max_v2.0,5,2591656,2592014,-1,hypothetical protein,63
KRH41288,GLYMA_08G021000,KRH41288,Glycine_max_v2.0,8,1702445,1707396,1,hypothetical protein,67
KRH75225,GLYMA_01G071400,KRH75225,Glycine_max_v2.0,1,12900286,12900538,1,hypothetical protein,53
KRH62820,GLYMA_04G134600,KRH62820,Glycine_max_v2.0,4,19427213,19430660,1,hypothetical protein,438
KRH23016,GLYMA_13G333000,KRH23016,Glycine_max_v2.0,13,42704740,42706920,1,hypothetical protein,121
KRH10649,GLYMA_15G060400,KRH10649,Glycine_max_v2.0,15,4672569,4674302,-1,hypothetical protein,128
KRH76138,GLYMA_01G134000,KRH76138,Glycine_max_v2.0,1,45457304,45459446,-1,hypothetical protein,40
KRH16564,GLYMA_14G162600,KRH16564,Glycine_max_v2.0,14,39833213,39844217,-1,hypothetical protein,140
KRG96131,GLYMA_19G191500,KRG96131,Glycine_max_v2.0,19,44875393,44876119,-1,hypothetical protein,33
KRH07129,GLYMA_16G069100,KRH07129,Glycine_max_v2.0,16,6892873,6896392,-1,hypothetical protein,987
KRH55206,GLYMA_06G237500,KRH55206,Glycine_max_v2.0,6,38734847,38735479,1,hypothetical protein,88
KRH04466,GLYMA_17G163300,KRH04466,Glycine_max_v2.0,17,14586036,14588149,-1,hypothetical protein,69
KRH75317,GLYMA_01G077900,KRH75317,Glycine_max_v2.0,1,19662835,19664099,-1,hypothetical protein,238
KRH55249,GLYMA_06G240200,KRH55249,Glycine_max_v2.0,6,39606935,39607114,-1,hypothetical protein,59
KRH12863,GLYMA_15G200300,KRH12863,Glycine_max_v2.0,15,24354940,24356197,1,hypothetical protein,113
KRH56283,GLYMA_06G314800,KRH56283,Glycine_max_v2.0,6,50372517,50373695,1,hypothetical protein,104
KRH24848,GLYMA_12G066300,KRH24848,Glycine_max_v2.0,12,4875471,4878097,-1,hypothetical protein,67
KRH72807,GLYMA_02G234700,KRH72807,Glycine_max_v2.0,2,42220078,42221082,-1,hypothetical protein,204
KRH23168,GLYMA_13G342200,KRH23168,Glycine_max_v2.0,13,43367891,43369119,-1,hypothetical protein,277
KRG99247,GLYMA_18G132800,KRG99247,Glycine_max_v2.0,18,18669901,18672074,-1,hypothetical protein,85
KRH28375,GLYMA_11G049400,KRH28375,Glycine_max_v2.0,11,3714047,3714976,1,hypothetical protein,74
KRH32989,GLYMA_10G091700,KRH32989,Glycine_max_v2.0,10,12621718,12622939,1,hypothetical protein,90
KRH37233,GLYMA_09G053600,KRH37233,Glycine_max_v2.0,9,4714609,4714809,1,hypothetical protein,66
KRH70466,GLYMA_02G092000,KRH70466,Glycine_max_v2.0,2,8152030,8154178,-1,hypothetical protein,62
KRH55330,GLYMA_06G246700,KRH55330,Glycine_max_v2.0,6,41664077,41666385,1,hypothetical protein,60
KRH50194,GLYMA_07G207100,KRH50194,Glycine_max_v2.0,7,37627808,37628638,1,hypothetical protein,157
KRH38176,GLYMA_09G116200,KRH38176,Glycine_max_v2.0,9,26651201,26652616,-1,hypothetical protein,471
KRH77553,GLYMA_01G220500,KRH77553,Glycine_max_v2.0,1,54968857,54969351,1,hypothetical protein,86
KRH68958,GLYMA_03G260800,KRH68958,Glycine_max_v2.0,3,45458542,45459170,1,hypothetical protein,106
KRH22439,GLYMA_13G300400,KRH22439,Glycine_max_v2.0,13,39839869,39840755,1,hypothetical protein,126
KRH20082,GLYMA_13G155000,KRH20082,Glycine_max_v2.0,13,27036389,27036715,1,hypothetical protein,108
KRH06643,GLYMA_16G036500,KRH06643,Glycine_max_v2.0,16,3467382,3467908,1,hypothetical protein,167
KRH76432,GLYMA_01G152400,KRH76432,Glycine_max_v2.0,1,48944438,48944806,-1,hypothetical protein,87
KRH27717,GLYMA_11G010300,KRH27717,Glycine_max_v2.0,11,724207,725019,-1,hypothetical protein,68
KRH63069,GLYMA_04G153100,KRH63069,Glycine_max_v2.0,4,34622442,34623725,-1,hypothetical protein,146
KRH52331,GLYMA_06G062200,KRH52331,Glycine_max_v2.0,6,4677532,4677708,1,hypothetical protein,58
KRH46077,GLYMA_08G310500,KRH46077,Glycine_max_v2.0,8,42986734,42987835,-1,hypothetical protein,75
KRG98437,GLYMA_18G073900,KRG98437,Glycine_max_v2.0,18,7018926,7021230,1,hypothetical protein,109
KRH31572,GLYMA_11G255100,KRH31572,Glycine_max_v2.0,11,34527011,34527385,1,hypothetical protein,90
KRH64326,GLYMA_04G230400,KRH64326,Glycine_max_v2.0,4,49904558,49905312,-1,hypothetical protein,66
KRH00102,GLYMA_18G193100,KRH00102,Glycine_max_v2.0,18,46555412,46555582,-1,hypothetical protein,56
KRH39516,GLYMA_09G202700,KRH39516,Glycine_max_v2.0,9,42674991,42676389,-1,hypothetical protein,67
KRH58356,GLYMA_05G122600,KRH58356,Glycine_max_v2.0,5,31628310,31628678,-1,hypothetical protein,122
KRH07756,GLYMA_16G108300,KRH07756,Glycine_max_v2.0,16,21996776,21998242,-1,hypothetical protein,488
KRH19501,GLYMA_13G119700,KRH19501,Glycine_max_v2.0,13,23232530,23234552,1,hypothetical protein,607
KRH37336,GLYMA_09G060000,KRH37336,Glycine_max_v2.0,9,5547915,5553988,-1,hypothetical protein,71
KRH63229,GLYMA_04G162300,KRH63229,Glycine_max_v2.0,4,40236769,40236930,1,hypothetical protein,53
KRH04017,GLYMA_17G134400,KRH04017,Glycine_max_v2.0,17,10828282,10829050,1,hypothetical protein,48
KRH71088,GLYMA_02G128500,KRH71088,Glycine_max_v2.0,2,13131564,13136427,-1,hypothetical protein,287
KRH04768,GLYMA_17G185400,KRH04768,Glycine_max_v2.0,17,23569564,23569752,1,hypothetical protein,62
KRH69174,GLYMA_02G009400,KRH69174,Glycine_max_v2.0,2,922172,923187,1,hypothetical protein,116
KRG94952,GLYMA_19G120800,KRG94952,Glycine_max_v2.0,19,37872089,37872464,-1,hypothetical protein,69
KRH12202,GLYMA_15G1590002,KRH12202,Glycine_max_v2.0,15,13389113,13389648,1,hypothetical protein,41
KRG91455,GLYMA_20G156300,KRG91455,Glycine_max_v2.0,20,39508304,39509588,-1,hypothetical protein,122
KRH24414,GLYMA_12G040100,KRH24414,Glycine_max_v2.0,12,2888820,2889842,1,hypothetical protein,74
KRH34360,GLYMA_10G179300,KRH34360,Glycine_max_v2.0,10,41243330,41244384,-1,hypothetical protein,51
KRH57485,GLYMA_05G063700,KRH57485,Glycine_max_v2.0,5,6191519,6205372,1,hypothetical protein,83
KRH62545,GLYMA_04G115000,KRH62545,Glycine_max_v2.0,4,13085272,13086330,1,hypothetical protein,82
KRH06888,GLYMA_16G052100,KRH06888,Glycine_max_v2.0,16,5021949,5022468,-1,hypothetical protein,70
KRH30039,GLYMA_11G154400,KRH30039,Glycine_max_v2.0,11,12469277,12473112,-1,hypothetical protein,266
KRH49598,GLYMA_07G166600,KRH49598,Glycine_max_v2.0,7,26166037,26166380,1,hypothetical protein,70
KRH71309,GLYMA_02G140400,KRH71309,Glycine_max_v2.0,2,14544839,14544991,1,hypothetical protein,50
KRH21768,GLYMA_13G257300,KRH21768,Glycine_max_v2.0,13,36257914,36258183,-1,hypothetical protein,89
KRH12327,GLYMA_15G166400,KRH12327,Glycine_max_v2.0,15,14466155,14467611,-1,hypothetical protein,225
KRH69354,GLYMA_02G021300,KRH69354,Glycine_max_v2.0,2,1900068,1900220,-1,hypothetical protein,50
KRH17673,GLYMA_13G007000,KRH17673,Glycine_max_v2.0,13,1960877,1961591,-1,hypothetical protein,64
KRH40647,GLYMA_09G272200,KRH40647,Glycine_max_v2.0,9,48864183,48864901,1,hypothetical protein,111
