peptide_id	gene_id	transcript_id	genome	chromosome	start_pos	end_pos	strand	description	length	is_singleton
KRH69196	GLYMA_02G010800	KRH69196	Glycine_max_v2.0	2.0	1021013.0	1022240.0	1.0	hypothetical protein	30	True
KRH50423	GLYMA_07G221400	KRH50423	Glycine_max_v2.0	7.0	39674324.0	39679431.0	-1.0	hypothetical protein	71	True
KRH51462	GLYMA_06G008100	KRH51462	Glycine_max_v2.0	6.0	626709.0	627957.0	1.0	hypothetical protein	92	True
KRH64372	GLYMA_04G232800	KRH64372	Glycine_max_v2.0	4.0	50114932.0	50117133.0	1.0	hypothetical protein	80	True
KRH70008	GLYMA_02G061800	KRH70008	Glycine_max_v2.0	2.0	5591597.0	5591833.0	1.0	hypothetical protein	78	True
KRH22622	GLYMA_13G312100	KRH22622	Glycine_max_v2.0	13.0	40721652.0	40729349.0	1.0	hypothetical protein	412	True
KRH27387	GLYMA_12G232600	KRH27387	Glycine_max_v2.0	12.0	39190738.0	39190833.0	-1.0	hypothetical protein	31	True
KRH16226	GLYMA_14G141700	KRH16226	Glycine_max_v2.0	14.0	28560446.0	28563467.0	-1.0	hypothetical protein	171	True
KRG99510	GLYMA_18G1506001	KRG99510	Glycine_max_v2.0	18.0	27795025.0	27795119.0	-1.0	hypothetical protein	31	True
KRH08730	GLYMA_16G170000	KRH08730	Glycine_max_v2.0	16.0	33010197.0	33011304.0	-1.0	hypothetical protein	183	True
KRH32584	GLYMA_10G061600	KRH32584	Glycine_max_v2.0	10.0	5772708.0	5773444.0	1.0	hypothetical protein	85	True
KRG96794	GLYMA_19G233200	KRG96794	Glycine_max_v2.0	19.0	48314796.0	48315818.0	-1.0	hypothetical protein	87	True
KRH10196	GLYMA_15G033900	KRH10196	Glycine_max_v2.0	15.0	2701565.0	2702716.0	1.0	hypothetical protein	383	True
KRG94658	GLYMA_19G099800	KRG94658	Glycine_max_v2.0	19.0	34685653.0	34685967.0	1.0	hypothetical protein	70	True
KRH74827	GLYMA_01G045000	KRH74827	Glycine_max_v2.0	1.0	5041216.0	5041816.0	1.0	hypothetical protein	68	True
KRH62431	GLYMA_04G108200	KRH62431	Glycine_max_v2.0	4.0	11504158.0	11504885.0	1.0	hypothetical protein	95	True
KRH18394	GLYMA_13G056700	KRH18394	Glycine_max_v2.0	13.0	15423364.0	15424333.0	1.0	hypothetical protein	210	True
KRH11442	GLYMA_15G108600	KRH11442	Glycine_max_v2.0	15.0	8539704.0	8540076.0	-1.0	hypothetical protein	92	True
KRH51642	GLYMA_06G020000	KRH51642	Glycine_max_v2.0	6.0	1519744.0	1520178.0	-1.0	hypothetical protein	67	True
KRH32520	GLYMA_10G056100	KRH32520	Glycine_max_v2.0	10.0	5138034.0	5138219.0	-1.0	hypothetical protein	61	True
KRH23634	GLYMA_13G369600	KRH23634	Glycine_max_v2.0	13.0	45510155.0	45511352.0	1.0	hypothetical protein	105	True
KRH66048	GLYMA_03G079700	KRH66048	Glycine_max_v2.0	3.0	20218892.0	20219735.0	1.0	hypothetical protein	66	True
KRH30656	GLYMA_11G198600	KRH30656	Glycine_max_v2.0	11.0	27592911.0	27593579.0	1.0	hypothetical protein	72	True
KRH32725	GLYMA_10G070800	KRH32725	Glycine_max_v2.0	10.0	7125661.0	7125828.0	1.0	hypothetical protein	55	True
KRH12213	GLYMA_15G159600	KRH12213	Glycine_max_v2.0	15.0	13482721.0	13484803.0	-1.0	hypothetical protein	78	True
KRH17326	GLYMA_14G213500	KRH17326	Glycine_max_v2.0	14.0	47848400.0	47848688.0	1.0	hypothetical protein	46	True
KRH53963	GLYMA_06G157700	KRH53963	Glycine_max_v2.0	6.0	12952789.0	12952968.0	1.0	hypothetical protein	59	True
KRH34815	GLYMA_10G208100	KRH34815	Glycine_max_v2.0	10.0	43978676.0	43989186.0	-1.0	hypothetical protein	596	True
KRG96272	GLYMA_19G200600	KRG96272	Glycine_max_v2.0	19.0	45756688.0	45762015.0	1.0	hypothetical protein	319	True
KRH60627	GLYMA_04G001000	KRH60627	Glycine_max_v2.0	4.0	97388.0	99724.0	1.0	hypothetical protein	87	True
KRH33689	GLYMA_10G139900	KRH33689	Glycine_max_v2.0	10.0	37347073.0	37347819.0	-1.0	hypothetical protein	237	True
KRH73250	GLYMA_02G262000	KRH73250	Glycine_max_v2.0	2.0	44799128.0	44799280.0	-1.0	hypothetical protein	50	True
KRH71558	GLYMA_02G154900	KRH71558	Glycine_max_v2.0	2.0	15862338.0	15862505.0	-1.0	hypothetical protein	55	True
KRH26595	GLYMA_12G182900	KRH26595	Glycine_max_v2.0	12.0	34386097.0	34386561.0	1.0	hypothetical protein	72	True
KRH42022	GLYMA_08G064000	KRH42022	Glycine_max_v2.0	8.0	4909631.0	4910584.0	1.0	hypothetical protein	66	True
KRG99029	GLYMA_18G115600	KRG99029	Glycine_max_v2.0	18.0	14096823.0	14097941.0	-1.0	hypothetical protein	76	True
KRH09083	GLYMA_16G194900	KRH09083	Glycine_max_v2.0	16.0	35682364.0	35682996.0	1.0	hypothetical protein	80	True
KRG94130	GLYMA_19G064400	KRG94130	Glycine_max_v2.0	19.0	15271161.0	15271511.0	1.0	hypothetical protein	78	True
KRH63913	GLYMA_04G203900	KRH63913	Glycine_max_v2.0	4.0	47644486.0	47644904.0	1.0	hypothetical protein	75	True
KRH22150	GLYMA_13G2809002	KRH22150	Glycine_max_v2.0	13.0	38209952.0	38210089.0	-1.0	hypothetical protein	45	True
KRG97258	GLYMA_19G260800	KRG97258	Glycine_max_v2.0	19.0	50391408.0	50391972.0	1.0	hypothetical protein	83	True
KRG97217	GLYMA_19G258200	KRG97217	Glycine_max_v2.0	19.0	50204220.0	50204420.0	-1.0	hypothetical protein	66	True
KRH06419	GLYMA_16G021900	KRH06419	Glycine_max_v2.0	16.0	2067605.0	2069564.0	1.0	hypothetical protein	53	True
KRH63914	GLYMA_04G204000	KRH63914	Glycine_max_v2.0	4.0	47646129.0	47646356.0	-1.0	hypothetical protein	73	True
KRH62835	GLYMA_04G135800	KRH62835	Glycine_max_v2.0	4.0	20218720.0	20220616.0	-1.0	hypothetical protein	134	True
KRH10668	GLYMA_15G061600	KRH10668	Glycine_max_v2.0	15.0	4748720.0	4753300.0	1.0	hypothetical protein	391	True
KRH51003	GLYMA_07G255600	KRH51003	Glycine_max_v2.0	7.0	43194219.0	43196544.0	1.0	hypothetical protein	84	True
KRH64784	GLYMA_04G255000	KRH64784	Glycine_max_v2.0	4.0	52163292.0	52164732.0	-1.0	hypothetical protein	186	True
KRH54089	GLYMA_06G164100	KRH54089	Glycine_max_v2.0	6.0	13569956.0	13571036.0	-1.0	hypothetical protein	91	True
KRG89963	GLYMA_20G058100	KRG89963	Glycine_max_v2.0	20.0	17105599.0	17113097.0	-1.0	hypothetical protein	222	True
KRH67594	GLYMA_03G175500	KRH67594	Glycine_max_v2.0	3.0	38887687.0	38888155.0	1.0	hypothetical protein	54	True
KRH21020	GLYMA_13G215100	KRH21020	Glycine_max_v2.0	13.0	32859027.0	32860717.0	-1.0	hypothetical protein	162	True
KRH35165	GLYMA_10G226500	KRH35165	Glycine_max_v2.0	10.0	45706001.0	45707052.0	-1.0	hypothetical protein	55	True
KRH53334	GLYMA_06G119600	KRH53334	Glycine_max_v2.0	6.0	9735603.0	9735773.0	1.0	hypothetical protein	56	True
KRH56927	GLYMA_05G028100	KRH56927	Glycine_max_v2.0	5.0	2422999.0	2424434.0	1.0	hypothetical protein	177	True
KRH12877	GLYMA_15G201500	KRH12877	Glycine_max_v2.0	15.0	24745471.0	24745863.0	1.0	hypothetical protein	130	True
KRH71654	GLYMA_02G161300	KRH71654	Glycine_max_v2.0	2.0	19689022.0	19689186.0	1.0	hypothetical protein	54	True
KRH49948	GLYMA_07G190200	KRH49948	Glycine_max_v2.0	7.0	35804819.0	35810844.0	-1.0	hypothetical protein	447	True
KRH36040	GLYMA_10G280200	KRH36040	Glycine_max_v2.0	10.0	50143105.0	50143896.0	1.0	hypothetical protein	66	True
KRG93664	GLYMA_19G031800	KRG93664	Glycine_max_v2.0	19.0	4025831.0	4026895.0	1.0	hypothetical protein	108	True
KRH04610	GLYMA_17G173700	KRH04610	Glycine_max_v2.0	17.0	18025303.0	18025448.0	1.0	hypothetical protein	34	True
KRH45515	GLYMA_08G276200	KRH45515	Glycine_max_v2.0	8.0	36836251.0	36836862.0	1.0	hypothetical protein	109	True
KRH53499	GLYMA_06G128800	KRH53499	Glycine_max_v2.0	6.0	10598708.0	10598973.0	-1.0	hypothetical protein	67	True
KRH01858	GLYMA_17G000700	KRH01858	Glycine_max_v2.0	17.0	69831.0	78451.0	1.0	hypothetical protein	319	True
KRH70607	GLYMA_02G099700	KRH70607	Glycine_max_v2.0	2.0	9373786.0	9374001.0	-1.0	hypothetical protein	71	True
KRH58238	GLYMA_05G114600	KRH58238	Glycine_max_v2.0	5.0	30449318.0	30449608.0	1.0	hypothetical protein	86	True
KRH13717	GLYMA_15G259100	KRH13717	Glycine_max_v2.0	15.0	49109474.0	49111739.0	-1.0	hypothetical protein	251	True
KRH67895	GLYMA_03G193900	KRH67895	Glycine_max_v2.0	3.0	40467047.0	40468219.0	1.0	hypothetical protein	48	True
KRH74654	GLYMA_01G034500	KRH74654	Glycine_max_v2.0	1.0	3585569.0	3588054.0	1.0	hypothetical protein	86	True
KRH01221	GLYMA_18G262400	KRH01221	Glycine_max_v2.0	18.0	54805208.0	54806944.0	1.0	hypothetical protein	99	True
KRG91420	GLYMA_20G153800	KRG91420	Glycine_max_v2.0	20.0	39274149.0	39275736.0	1.0	hypothetical protein	62	True
KRH43715	GLYMA_08G166300	KRH43715	Glycine_max_v2.0	8.0	13128338.0	13135758.0	1.0	hypothetical protein	92	True
KRH53696	GLYMA_06G140700	KRH53696	Glycine_max_v2.0	6.0	11469137.0	11470446.0	1.0	hypothetical protein	104	True
KRH65216	GLYMA_03G021000	KRH65216	Glycine_max_v2.0	3.0	2148314.0	2162943.0	-1.0	hypothetical protein	1191	True
KRH63252	GLYMA_04G163500	KRH63252	Glycine_max_v2.0	4.0	40580109.0	40580693.0	1.0	hypothetical protein	117	True
KRG99538	GLYMA_18G152500	KRG99538	Glycine_max_v2.0	18.0	28972636.0	28973506.0	1.0	hypothetical protein	127	True
KRH25485	GLYMA_12G106700	KRH25485	Glycine_max_v2.0	12.0	9741141.0	9741858.0	-1.0	hypothetical protein	129	True
KRH20382	GLYMA_13G174600	KRH20382	Glycine_max_v2.0	13.0	28884956.0	28910955.0	1.0	hypothetical protein	2718	True
KRH62243	GLYMA_04G095400	KRH62243	Glycine_max_v2.0	4.0	8483127.0	8484698.0	1.0	hypothetical protein	86	True
KRH20794	GLYMA_13G200900	KRH20794	Glycine_max_v2.0	13.0	31446769.0	31447481.0	1.0	hypothetical protein	104	True
KRH29918	GLYMA_11G146400	KRH29918	Glycine_max_v2.0	11.0	11289924.0	11290073.0	1.0	hypothetical protein	49	True
KRH65362	GLYMA_03G030200	KRH65362	Glycine_max_v2.0	3.0	3355676.0	3356204.0	1.0	hypothetical protein	70	True
KRH47611	GLYMA_07G039500	KRH47611	Glycine_max_v2.0	7.0	3237703.0	3238856.0	1.0	hypothetical protein	122	True
KRH33532	GLYMA_10G129500	KRH33532	Glycine_max_v2.0	10.0	34736180.0	34736957.0	1.0	hypothetical protein	74	True
KRH23681	GLYMA_13G371100	KRH23681	Glycine_max_v2.0	13.0	45631966.0	45632931.0	-1.0	hypothetical protein	106	True
KRH60202	GLYMA_05G2261002	KRH60202	Glycine_max_v2.0	5.0	40466087.0	40466142.0	-1.0	hypothetical protein	17	True
KRG94937	GLYMA_19G119400	KRG94937	Glycine_max_v2.0	19.0	37709556.0	37712196.0	-1.0	hypothetical protein	267	True
KRH10314	GLYMA_15G041900	KRH10314	Glycine_max_v2.0	15.0	3273014.0	3273962.0	1.0	hypothetical protein	66	True
KRH47649	GLYMA_07G042200	KRH47649	Glycine_max_v2.0	7.0	3513045.0	3513383.0	1.0	hypothetical protein	84	True
KRH48848	GLYMA_07G116800	KRH48848	Glycine_max_v2.0	7.0	13017377.0	13017816.0	1.0	hypothetical protein	77	True
KRH34795	GLYMA_10G206800	KRH34795	Glycine_max_v2.0	10.0	43850381.0	43851041.0	1.0	hypothetical protein	36	True
KRH30062	GLYMA_11G155600	KRH30062	Glycine_max_v2.0	11.0	12763190.0	12763959.0	1.0	hypothetical protein	81	True
KRH11552	GLYMA_15G116600	KRH11552	Glycine_max_v2.0	15.0	9164187.0	9164585.0	-1.0	hypothetical protein	72	True
KRH30966	GLYMA_11G218200	KRH30966	Glycine_max_v2.0	11.0	31290239.0	31294284.0	1.0	hypothetical protein	68	True
KRG99597	GLYMA_18G156200	KRG99597	Glycine_max_v2.0	18.0	34161631.0	34162164.0	1.0	hypothetical protein	106	True
KRH20557	GLYMA_13G1860002	KRH20557	Glycine_max_v2.0	13.0	29978087.0	29978163.0	1.0	hypothetical protein	25	True
KRH15231	GLYMA_14G076100	KRH15231	Glycine_max_v2.0	14.0	6375700.0	6379969.0	1.0	hypothetical protein	47	True
KRH47833	GLYMA_07G051400	KRH47833	Glycine_max_v2.0	7.0	4434210.0	4435794.0	1.0	hypothetical protein	312	True
KRH13513	GLYMA_15G244900	KRH13513	Glycine_max_v2.0	15.0	46615941.0	46616878.0	1.0	hypothetical protein	93	True
KRH38732	GLYMA_09G154300	KRH38732	Glycine_max_v2.0	9.0	37729414.0	37729584.0	-1.0	hypothetical protein	56	True
KRH76173	GLYMA_01G136800	KRH76173	Glycine_max_v2.0	1.0	46177479.0	46177670.0	-1.0	hypothetical protein	63	True
KRG96365	GLYMA_19G205900	KRG96365	Glycine_max_v2.0	19.0	46162512.0	46162902.0	-1.0	hypothetical protein	112	True
KRH36966	GLYMA_09G035200	KRH36966	Glycine_max_v2.0	9.0	2940481.0	2941257.0	-1.0	hypothetical protein	258	True
KRH43209	GLYMA_08G137400	KRH43209	Glycine_max_v2.0	8.0	10510958.0	10512626.0	1.0	hypothetical protein	83	True
KRH66288	GLYMA_03G096900	KRH66288	Glycine_max_v2.0	3.0	28458751.0	28464226.0	-1.0	hypothetical protein	390	True
KRG94112	GLYMA_19G063200	KRG94112	Glycine_max_v2.0	19.0	13582853.0	13583053.0	-1.0	hypothetical protein	66	True
KRG93029	GLYMA_20G244100	KRG93029	Glycine_max_v2.0	20.0	47429944.0	47433224.0	-1.0	hypothetical protein	610	True
KRH15752	GLYMA_14G108900	KRH15752	Glycine_max_v2.0	14.0	12007387.0	12007623.0	1.0	hypothetical protein	78	True
KRH75190	GLYMA_01G068700	KRH75190	Glycine_max_v2.0	1.0	11504351.0	11504998.0	-1.0	hypothetical protein	140	True
KRH76138	GLYMA_01G134000	KRH76138	Glycine_max_v2.0	1.0	45457304.0	45459446.0	-1.0	hypothetical protein	40	True
KRH16564	GLYMA_14G162600	KRH16564	Glycine_max_v2.0	14.0	39833213.0	39844217.0	-1.0	hypothetical protein	140	True
KRG96131	GLYMA_19G191500	KRG96131	Glycine_max_v2.0	19.0	44875393.0	44876119.0	-1.0	hypothetical protein	33	True
KRH07129	GLYMA_16G069100	KRH07129	Glycine_max_v2.0	16.0	6892873.0	6896392.0	-1.0	hypothetical protein	987	True
KRH55206	GLYMA_06G237500	KRH55206	Glycine_max_v2.0	6.0	38734847.0	38735479.0	1.0	hypothetical protein	88	True
KRH04466	GLYMA_17G163300	KRH04466	Glycine_max_v2.0	17.0	14586036.0	14588149.0	-1.0	hypothetical protein	69	True
KRH75317	GLYMA_01G077900	KRH75317	Glycine_max_v2.0	1.0	19662835.0	19664099.0	-1.0	hypothetical protein	238	True
KRH56283	GLYMA_06G314800	KRH56283	Glycine_max_v2.0	6.0	50372517.0	50373695.0	1.0	hypothetical protein	104	True
KRH72807	GLYMA_02G234700	KRH72807	Glycine_max_v2.0	2.0	42220078.0	42221082.0	-1.0	hypothetical protein	204	True
KRG99247	GLYMA_18G132800	KRG99247	Glycine_max_v2.0	18.0	18669901.0	18672074.0	-1.0	hypothetical protein	85	True
KRH28375	GLYMA_11G049400	KRH28375	Glycine_max_v2.0	11.0	3714047.0	3714976.0	1.0	hypothetical protein	74	True
KRH32989	GLYMA_10G091700	KRH32989	Glycine_max_v2.0	10.0	12621718.0	12622939.0	1.0	hypothetical protein	90	True
KRH37233	GLYMA_09G053600	KRH37233	Glycine_max_v2.0	9.0	4714609.0	4714809.0	1.0	hypothetical protein	66	True
KRH38176	GLYMA_09G116200	KRH38176	Glycine_max_v2.0	9.0	26651201.0	26652616.0	-1.0	hypothetical protein	471	True
KRH77553	GLYMA_01G220500	KRH77553	Glycine_max_v2.0	1.0	54968857.0	54969351.0	1.0	hypothetical protein	86	True
KRH68958	GLYMA_03G260800	KRH68958	Glycine_max_v2.0	3.0	45458542.0	45459170.0	1.0	hypothetical protein	106	True
KRH20082	GLYMA_13G155000	KRH20082	Glycine_max_v2.0	13.0	27036389.0	27036715.0	1.0	hypothetical protein	108	True
KRH06643	GLYMA_16G036500	KRH06643	Glycine_max_v2.0	16.0	3467382.0	3467908.0	1.0	hypothetical protein	167	True
KRH76432	GLYMA_01G152400	KRH76432	Glycine_max_v2.0	1.0	48944438.0	48944806.0	-1.0	hypothetical protein	87	True
KRH27717	GLYMA_11G010300	KRH27717	Glycine_max_v2.0	11.0	724207.0	725019.0	-1.0	hypothetical protein	68	True
KRH63069	GLYMA_04G153100	KRH63069	Glycine_max_v2.0	4.0	34622442.0	34623725.0	-1.0	hypothetical protein	146	True
KRH52331	GLYMA_06G062200	KRH52331	Glycine_max_v2.0	6.0	4677532.0	4677708.0	1.0	hypothetical protein	58	True
KRH46077	GLYMA_08G310500	KRH46077	Glycine_max_v2.0	8.0	42986734.0	42987835.0	-1.0	hypothetical protein	75	True
KRG98437	GLYMA_18G073900	KRG98437	Glycine_max_v2.0	18.0	7018926.0	7021230.0	1.0	hypothetical protein	109	True
KRH31572	GLYMA_11G255100	KRH31572	Glycine_max_v2.0	11.0	34527011.0	34527385.0	1.0	hypothetical protein	90	True
KRH64326	GLYMA_04G230400	KRH64326	Glycine_max_v2.0	4.0	49904558.0	49905312.0	-1.0	hypothetical protein	66	True
KRH00102	GLYMA_18G193100	KRH00102	Glycine_max_v2.0	18.0	46555412.0	46555582.0	-1.0	hypothetical protein	56	True
KRH39516	GLYMA_09G202700	KRH39516	Glycine_max_v2.0	9.0	42674991.0	42676389.0	-1.0	hypothetical protein	67	True
KRH58356	GLYMA_05G122600	KRH58356	Glycine_max_v2.0	5.0	31628310.0	31628678.0	-1.0	hypothetical protein	122	True
KRH37336	GLYMA_09G060000	KRH37336	Glycine_max_v2.0	9.0	5547915.0	5553988.0	-1.0	hypothetical protein	71	True
KRH63229	GLYMA_04G162300	KRH63229	Glycine_max_v2.0	4.0	40236769.0	40236930.0	1.0	hypothetical protein	53	True
KRH04017	GLYMA_17G134400	KRH04017	Glycine_max_v2.0	17.0	10828282.0	10829050.0	1.0	hypothetical protein	48	True
KRH71088	GLYMA_02G128500	KRH71088	Glycine_max_v2.0	2.0	13131564.0	13136427.0	-1.0	hypothetical protein	287	True
KRH04768	GLYMA_17G185400	KRH04768	Glycine_max_v2.0	17.0	23569564.0	23569752.0	1.0	hypothetical protein	62	True
KRH69174	GLYMA_02G009400	KRH69174	Glycine_max_v2.0	2.0	922172.0	923187.0	1.0	hypothetical protein	116	True
KRH12202	GLYMA_15G1590002	KRH12202	Glycine_max_v2.0	15.0	13389113.0	13389648.0	1.0	hypothetical protein	41	True
KRH24414	GLYMA_12G040100	KRH24414	Glycine_max_v2.0	12.0	2888820.0	2889842.0	1.0	hypothetical protein	74	True
KRH34360	GLYMA_10G179300	KRH34360	Glycine_max_v2.0	10.0	41243330.0	41244384.0	-1.0	hypothetical protein	51	True
KRH57485	GLYMA_05G063700	KRH57485	Glycine_max_v2.0	5.0	6191519.0	6205372.0	1.0	hypothetical protein	83	True
KRH62545	GLYMA_04G115000	KRH62545	Glycine_max_v2.0	4.0	13085272.0	13086330.0	1.0	hypothetical protein	82	True
KRH06888	GLYMA_16G052100	KRH06888	Glycine_max_v2.0	16.0	5021949.0	5022468.0	-1.0	hypothetical protein	70	True
KRH30039	GLYMA_11G154400	KRH30039	Glycine_max_v2.0	11.0	12469277.0	12473112.0	-1.0	hypothetical protein	266	True
KRH49598	GLYMA_07G166600	KRH49598	Glycine_max_v2.0	7.0	26166037.0	26166380.0	1.0	hypothetical protein	70	True
KRH71309	GLYMA_02G140400	KRH71309	Glycine_max_v2.0	2.0	14544839.0	14544991.0	1.0	hypothetical protein	50	True
KRH21768	GLYMA_13G257300	KRH21768	Glycine_max_v2.0	13.0	36257914.0	36258183.0	-1.0	hypothetical protein	89	True
KRH12327	GLYMA_15G166400	KRH12327	Glycine_max_v2.0	15.0	14466155.0	14467611.0	-1.0	hypothetical protein	225	True
KRH69354	GLYMA_02G021300	KRH69354	Glycine_max_v2.0	2.0	1900068.0	1900220.0	-1.0	hypothetical protein	50	True
KRH40647	GLYMA_09G272200	KRH40647	Glycine_max_v2.0	9.0	48864183.0	48864901.0	1.0	hypothetical protein	111	True
KRH16334	GLYMA_14G149500	KRH16334	Glycine_max_v2.0	14.0	32249643.0	32250490.0	1.0	hypothetical protein	73	True
KRH53151	GLYMA_06G107900	KRH53151	Glycine_max_v2.0	6.0	8665100.0	8665484.0	1.0	hypothetical protein	78	True
KRH06328	GLYMA_16G016800	KRH06328	Glycine_max_v2.0	16.0	1467805.0	1469620.0	1.0	hypothetical protein	51	True
KRH66492	GLYMA_03G110000	KRH66492	Glycine_max_v2.0	3.0	31373743.0	31375159.0	-1.0	hypothetical protein	65	True
KRG91793	GLYMA_20G174700	KRG91793	Glycine_max_v2.0	20.0	41206929.0	41207369.0	-1.0	hypothetical protein	70	True
KRH15378	GLYMA_14G084100	KRH15378	Glycine_max_v2.0	14.0	7372214.0	7372668.0	1.0	hypothetical protein	58	True
KRH55751	GLYMA_06G278100	KRH55751	Glycine_max_v2.0	6.0	46971080.0	46971416.0	1.0	hypothetical protein	105	True
KRH16480	GLYMA_14G158700	KRH16480	Glycine_max_v2.0	14.0	35097395.0	35098384.0	1.0	hypothetical protein	75	True
KRG88543	GLYMA_U0063002	KRG88543						hypothetical protein	18	True
KRH42316	GLYMA_08G082800	KRH42316	Glycine_max_v2.0	8.0	6271366.0	6272220.0	-1.0	hypothetical protein	78	True
KRH47200	GLYMA_07G014900	KRH47200	Glycine_max_v2.0	7.0	1168885.0	1169148.0	-1.0	hypothetical protein	87	True
KRG93131	GLYMA_20G249400	KRG93131	Glycine_max_v2.0	20.0	47818422.0	47822783.0	-1.0	hypothetical protein	474	True
KRH40082	GLYMA_09G236900	KRH40082	Glycine_max_v2.0	9.0	45904867.0	45906073.0	-1.0	hypothetical protein	75	True
KRH55194	GLYMA_06G236300	KRH55194	Glycine_max_v2.0	6.0	38422754.0	38423624.0	1.0	hypothetical protein	66	True
KRH27000	GLYMA_12G207800	KRH27000	Glycine_max_v2.0	12.0	36742961.0	36743944.0	1.0	hypothetical protein	119	True
KRH22065	GLYMA_13G275700	KRH22065	Glycine_max_v2.0	13.0	37713503.0	37714588.0	1.0	hypothetical protein	361	True
KRH75299	GLYMA_01G076700	KRH75299	Glycine_max_v2.0	1.0	18145637.0	18146630.0	1.0	hypothetical protein	165	True
KRG91984	GLYMA_20G183900	KRG91984	Glycine_max_v2.0	20.0	42189558.0	42191937.0	-1.0	hypothetical protein	168	True
KRH33578	GLYMA_10G1332002	KRH33578	Glycine_max_v2.0	10.0	35809148.0	35809191.0	1.0	hypothetical protein	14	True
KRH47112	GLYMA_07G009400	KRH47112	Glycine_max_v2.0	7.0	705174.0	705728.0	1.0	hypothetical protein	77	True
KRH54157	GLYMA_06G168200	KRH54157	Glycine_max_v2.0	6.0	14045613.0	14048618.0	-1.0	hypothetical protein	59	True
KRH60133	GLYMA_05G222100	KRH60133	Glycine_max_v2.0	5.0	40159713.0	40160512.0	1.0	hypothetical protein	98	True
KRH21265	GLYMA_13G2292002	KRH21265	Glycine_max_v2.0	13.0	34138528.0	34138536.0	1.0	hypothetical protein	3	True
KRH57857	GLYMA_05G088700	KRH57857	Glycine_max_v2.0	5.0	19161735.0	19163239.0	1.0	hypothetical protein	87	True
KRH62927	GLYMA_04G142600	KRH62927	Glycine_max_v2.0	4.0	24962583.0	24963450.0	1.0	hypothetical protein	87	True
KRH52193	GLYMA_06G051700	KRH52193	Glycine_max_v2.0	6.0	3898727.0	3899134.0	-1.0	hypothetical protein	135	True
KRH70394	GLYMA_02G088100	KRH70394	Glycine_max_v2.0	2.0	7694990.0	7696458.0	1.0	hypothetical protein	82	True
KRH52139	GLYMA_06G049100	KRH52139	Glycine_max_v2.0	6.0	3679711.0	3680417.0	1.0	hypothetical protein	108	True
KRH02462	GLYMA_17G040100	KRH02462	Glycine_max_v2.0	17.0	2969594.0	2969743.0	1.0	hypothetical protein	49	True
KRH11794	GLYMA_15G131000	KRH11794	Glycine_max_v2.0	15.0	10535032.0	10535618.0	1.0	hypothetical protein	86	True
KRH22500	GLYMA_13G3046001	KRH22500	Glycine_max_v2.0	13.0	40156775.0	40157401.0	1.0	hypothetical protein	80	True
KRH71734	GLYMA_02G165400	KRH71734	Glycine_max_v2.0	2.0	24248977.0	24280980.0	1.0	hypothetical protein	563	True
